start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
3063.0,642.0,10:00 - 12:00,2,"[433.0, 206.0]",3.578,1.892,"['cb15fb16c203769a9706bec9ad4dd443fa64a5f0ecae4e1ef22432b87948b72f_1', 'a65046b2947d7ce764d6a1cee10e5473c5e09af27e18f4f7943f5ee83277fe5a_1']"
3063.0,3057.0,08:00 - 10:00,2,"[65.0, 185.0]",1.0,1.0,"['51ca8eda5f683601e824cce225bf6b4ad1cef52ad143b956400f5d36ba0d5db4_1', 'ada970a955b8556d9640ce47ebd59d7c9090d74cf957ffb01041e5a72190cd00_1']"
3065.0,498.0,12:00 - 14:00,2,"[293.0, 35.0]",4.622,2.15,"['7cdb6c6b5497e6f7c363ea740bac286dfcdcdcb8654843ea0a9a8e99384f8bd5_1', 'b501afcab2f967f4dc1676eab1a4f2dd29f6883504c2d447dc9b1da45006d134_1']"
3065.0,1474.0,08:00 - 10:00,2,"[238.0, 823.0]",23.766,4.875,"['7150d6add1229d47cfd6a8491cd9b97e96881ba0e7044473348b3e78da639572_1', '3ad7af7d49ee144ea6630f70c9ec45acf6db44bbbba5f1dbfa73302a8f38e813_1']"
3067.0,3064.0,08:00 - 10:00,2,"[135.0, 31.0]",0.751,0.867,"['75b108499396bc6b02554f85632a74c2e36806460c2f31161d3b97fbe3c00922_1', '97c125e5d0117adc9f3d0772f9cde40d416eb03207f7693df16f2f5259226a56_1']"
3071.0,2771.0,18:00 - 20:00,2,"[162.0, 160.0]",0.0,0.017,"['682e879be1f8653ff08daa0c79a47b49eb6c46f16a015ae2de5f0c5d2294dd09_1', '99f075e7e117440af79d3c161e37ee2c8a2764243cfadb322d6a220573144841_1']"
3071.0,3081.0,18:00 - 20:00,3,"[175.0, 175.0, 160.0]",0.014,0.118,"['ee610dd83a8c33df553c6809e15454fab125384ff0333edf6107812593665d1b_1', 'ff821dd7cd0be43014e302fb85e1f4e5933e6afadb80c7fac1d0db84c33c0839_1', 'a11a27b08e07d5b39bb8d963d79358bf05eec32695b709a71eac3f9c1567d429_1']"
3072.0,1601.0,12:00 - 14:00,2,"[465.0, 484.0]",0.025,0.158,"['64b1967d2052ff42716a80ded355c0ca655c1c0a308c50851ecd905362e65ab2_1', '52bde282cec0648e4b50cc0d6f49439ca2c3c3635f18433dd9a4380b8706bad7_1']"
3075.0,759.0,22:00 - 24:00,2,"[130.0, 171.0]",0.117,0.342,"['084054548329705e3bad081513d89d2a8db7ed4b17c46120f80b78370f48a9f3_1', 'd183d49c3e56e7a1b00c9315b9eaa4cc53f97fc3879dc82c3d36437fa40bfe96_1']"
3075.0,2239.0,10:00 - 12:00,2,"[155.0, 175.0]",0.028,0.167,"['3ce5179ab31d0f004c648f4cf570099ea9089be48dac1f2c1d837fbeed390b5d_1', 'e8e2db021e2d6aa60481db83813c7c607a62ef019add34d0bfa630a124813fa4_1']"
3075.0,3079.0,18:00 - 20:00,2,"[230.0, 197.0]",0.076,0.275,"['356803e2426a71f28780636919e29b98e07e444274fea1608837c16b1ae89a66_1', 'b500b04ccc197088c5e1ea84eddcd3ff0b64366ec358db93dced8a11fcbc28db_1']"
