start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
128,215,10:00 - 12:00,2,"[1287.0, 1373.0]",0.514,0.717,"['207821dad71eb7de3fa93a582ea5212130a0b6f222f327b9a76dbc8bc3e87ec9_3', 'be436bc0c7c5ea46c2471bb4cddae563d4425042d000b1b45b5377e42ee06835_3']"
128,215,16:00 - 18:00,2,"[1150.0, 795.0]",8.752,2.958,"['4fd44d7ac310fb7cd384f8779c232b9a881e8fcb319972530914513788020d00_3', '2e9480c3d64c43953ff2e83fdbce51686163e1d7397ab69b625dcf73ca974ca0_3']"
128,215,18:00 - 20:00,2,"[873.0, 740.0]",1.228,1.108,"['2066443aa238eba1b0adeac330897276d56e4438e552a0a7410bad06651e9e8f_3', '5a36e972216849ad6277047caff11c8375992850a3d71f96643ee0a4c5ab35f4_3']"
128,216,16:00 - 18:00,2,"[1225.0, 640.0]",23.766,4.875,"['45a549905a7a95161f4accae77306112fa3242fef34e148e04e7d46fc9ae795d_3', 'b3eef97284953fa68ce9a2d547636afa0429c67850ff08ff032ae4c4f0dd367c_3']"
128,225,16:00 - 18:00,2,"[891.0, 755.0]",1.284,1.133,"['01dbe243b1c89da7949fd4b8732e8d4e4ffddc9766eaf0817ea3432ad7f6eb58_3', '18c3294bc4452528a945551c5b889cf72d36074ca794d63ceb79acc2ad4c8f51_3']"
128,225,18:00 - 20:00,2,"[910.0, 1444.0]",19.802,4.45,"['a523b823bec2810f7b0a438688b2ddb3e06511650efc6d31e247d321060479e9_3', '593f04285e55854c225dd9715df41d747a2bb68901b7dfea40a29e51c4aa7418_3']"
128,225,20:00 - 22:00,2,"[1503.0, 812.0]",33.158,5.758,"['4de8c8e6efa880bf1a6eb30705c356960c6353b696f231055da484573f6b2b78_3', '75895478310a0117d10f8c29b97f4683de3053cf672bdec23ea3444ddf08d021_3']"
128,233,10:00 - 12:00,2,"[435.0, 862.0]",12.662,3.558,"['b51608bb32ea4b9615c9a4bf83ac8c99fb4fe0f6c9ad9fb572d2ddd3e6426d19_3', 'f3376305e4b86dda2413b3bd885f85b12635f27e24b495fc9f1ae9c848d55a65_3']"
128,234,14:00 - 16:00,2,"[1136.0, 295.0]",49.117,7.008,"['31535b159e2f05149c0ec9c1a5af0195857e3134c68be2d351f29aebad1357cf_3', '348cec1957770fe0ff0e70065809913df5c4d34f9b0c02e8a5a62a8748caf7bf_3']"
128,238,12:00 - 14:00,3,"[252.0, 452.0, 517.0]",3.532,1.879,"['5c6112e6efd927f9850f9e98b7266c0e7ed245732f2602bb121d383e3185d0cc_3', '9899db0253d7c36ae4cc71e983deaed7c2b3e6d6d643e84ffe1fe937a7b2d2e1_3', '877048f2b2a5007bf2b511f830ab37acf2fb752e0be63893df52ac11bbb3e308_3']"
128,238,14:00 - 16:00,3,"[676.0, 301.0, 551.0]",6.752,2.598,"['3c3144c11a4a0d88e9e4846b43546bc59d4286762e71061d90e6fc7fc48deba1_1', 'a30784a6511578a682e0779b2fc4f33c38b3d637b2bb1dc975beb23b19d95bf6_1', 'baa11dbedacee645bdbdc36eeb4ace0c1eaa31de9dfbb196c3de824962dcd3e3_1']"
128,238,18:00 - 20:00,3,"[474.0, 181.0, 731.0]",14.025,3.745,"['76cd1c2c72487cd1523d7da256fb06ee68b0665cc64e20596b3d06a4c4a71a81_3', '62da18c48da746d875ce5a124b6ca93e1153db78d9a7220e503a2e7c04260865_1', '480ca1724e769a92a9d4537c44a6ae252b63724f364227dfae79e1014b90f8e4_3']"
128,238,20:00 - 22:00,2,"[189.0, 570.0]",10.081,3.175,"['59c0194b33f65176d179385a2573ccbdfae6d55e24a320b9bf1ef4e947b06fc8_3', '9c19059ba0c61084396f78ed3e44e028149880144980b467f2af37968fc53e07_1']"
128,242,20:00 - 22:00,3,"[591.0, 310.0, 699.0]",7.467,2.733,"['fc4a13230fede49a3d68d696a5df52188b975980a4714d7696993dec301e33eb_3', '1b8b35997214a672513882eb71cd7b79e5fef8a52572c34135eacf88e1e1354d_3', 'c55d64c65445d5ec7a4f59433bf7cadfb91bd1d9cc36b4469c2ab18a0079ebc9_3']"
128,264,16:00 - 18:00,2,"[945.0, 1245.0]",6.25,2.5,"['d2a0ef3f8e3b295158e372075f20ed6eefe57d703b09cbd5cb49462af823456c_3', '0b68abbe43655978384146874f9369d71dc2bb5cb04caa6d6e0a153ff986bb75_3']"
128,271,14:00 - 16:00,2,"[551.0, 1434.0]",54.145,7.358,"['91935052495b2a8302e0eebb72a50a18b742adaa6a8c0335379e999f351f2dc2_3', 'd42a3984334e8ac960c4cacf3a92c48b64f7e5eec72b334e5d902fcb41f98b2c_3']"
128,271,18:00 - 20:00,3,"[490.0, 1657.0, 643.0]",74.491,8.631,"['1836f1664806425f5a9a7e0944ab6ca12a0d202c781aec65d68bce06806163d4_3', '80458fd19a271785843037099f661f312d8a029a390d0ee0cb0435e639926785_3', 'c2c40cdaf2d7d2fe51994ff67ab91dbd8a0ae2aa63aeade63255c615607c9e8c_3']"
128,271,20:00 - 22:00,2,"[380.0, 335.0]",0.141,0.375,"['30f7eed511dd5661bb586b63231dddf9a1cbfce9574d5af6afcf5af5b827c170_3', 'cc3df20c930f61043e50aa06f8357ddccda2d2d5397ed60edabded353934dbb6_3']"
128,278,16:00 - 18:00,2,"[360.0, 330.0]",0.062,0.25,"['55b1cc47bbdb58a4ad4475aeaa5bba66fd2db0a4aa27b74bc3c3ffe897f3eb44_3', 'c906a580a605286a373104390e19937a29d6617efb7b032876358b7a3c51ef63_3']"
128,314,16:00 - 18:00,2,"[1099.0, 524.0]",22.96,4.792,"['63acfeef88548a0871908c289d55ee40c842f612a38db4ad393e3cfb36c2b93f_3', '5e849c18a0c4515b33e337dfa9a6c8e2a7eec3b0686e5c07df7539a518af184f_3']"
128,314,18:00 - 20:00,2,"[652.0, 1215.0]",22.012,4.692,"['c27a7ba02e49326f74e1e8630b38578b9443b864a8c1bbb2972ce89e2fc68bf3_3', 'db69f072a3843982fb57ddd364d1d2fa7ab74a99de6597c54ae77d951596b372_3']"
128,344,12:00 - 14:00,2,"[981.0, 955.0]",0.047,0.217,"['a4c10f46f7a720ca4655ca90793d723c114ce69975a4e0d5709d9b222a04ab80_3', 'a1bd70bfedc0ee07ecdc4dcdcc6d79e86ea9acbce827b7b90a73c2c3c3661e82_3']"
128,350,16:00 - 18:00,2,"[758.0, 615.0]",1.42,1.192,"['18e36412f08a3a34650731f3849721ad1ebe6de8aefba4bb3d1e5147cad0a345_3', 'f889ae80100b2fc9bcdd4df1dda61c9658930a97027b7fe486977707be9a85fc_3']"
128,359,14:00 - 16:00,2,"[631.0, 621.0]",0.007,0.083,"['7985c3cb8b7ebe00f01297bb94bf4e0a368c79e408351577722baf02d2e5a842_3', '6536d1088f90ee5976d16a28044be4c029328871ce91d9c29d14f61f682fab25_3']"
128,359,18:00 - 20:00,2,"[1117.0, 675.0]",13.567,3.683,"['e5cc26bb11e85d8e05f50335d7648b17c91987c824d50d7ce6ac8905462a1ffe_3', '82266d82909e75c7e64945bb628d4fb255e8f37bfcbc41425aab1910d402cc7f_3']"
128,363,12:00 - 14:00,2,"[1029.0, 1239.0]",3.062,1.75,"['39b35ddbea37c696a9458ddfebfc0e0eef62f6f0c5761da9055ec41c52b35b06_3', 'fca54f554d6d4e69f587f0107f636b60bdacab41c0e18b568adca2546a5fc335_3']"
128,369,06:00 - 08:00,5,"[240.0, 831.0, 120.0, 270.0, 451.0]",17.095,4.135,"['1546bd3647fe02b6c90100b4b54ad105001607d70ad93f1618f9ad06668195fc_1', '96b1a7222fa8b5ee04f61cd53e7eb4b18a11aa19cdcfa717e10eba2e549f0208_1', '67032be9cad04d7730ac361581f3db048545bf368d3b9bf9e4e1665c4fbf5461_1', '17d1d4f9df2588803a809c0b4b5a1140e3299681236f715c182cee21ad7d5af0_1', 'ac07db3962f1670d69875b686b580e95f8e0b8069521e725bf869d5ea7496667_1']"
128,369,08:00 - 10:00,2,"[85.0, 230.0]",1.46,1.208,"['a0217abaab054cbde48afb1611890fea59e4db83927f7f09573cb093f2d56ffa_1', '8c87048f31a72058aa883aa9c2f39cef974dcd4c66a5824d8bd45038ddfeebe8_1']"
128,369,10:00 - 12:00,3,"[781.0, 339.0, 638.0]",9.42,3.069,"['0e3915d5a23b116b06565063a0a30db5cb22227238a3d3bc315026df22abd6b6_1', '39b6ffbcfb84ab3e4a3fff712e65f19ad5eb747035c06cb4b3d3297023eb409b_3', '522aa42e9df4dcc610fa1ec88cab1c7f81fe864e39f6f8d90c59c655ed3a22f5_1']"
