start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
16,303,14:00 - 16:00,2,"[415.0, 559.0]",1.44,1.2,"['6c9f3ef46fd9d7dac7f66f81a328a38e33e5b49a263fbdfee817f0e7fbb98178_3', '9288b49e0c585bd4ef8de539abd451ee654630865ce790b518b737692892ed9d_3']"
17,231,14:00 - 16:00,2,"[822.0, 912.0]",0.562,0.75,"['a1b82fd3fdf4e2255edd6d10c0ab0c4ea49488fd0f51e658e72de5e01fe4dea9_3', 'd22e3027d9d4fd2ee152ff966925036ef4ec0f5637f5dffb054aadb1e4a56fbd_3']"
17,250,10:00 - 12:00,2,"[648.0, 400.0]",4.271,2.067,"['40d18fd65a39903dfe7e86ee084962cc50844fa972b3330f5a0f72a9e569b401_1', '86526acaad6ff408dc6410907d58c2fa0e3c7af3074adc30c48453627692ffdc_1']"
17,250,18:00 - 20:00,3,"[211.0, 120.0, 309.0]",1.655,1.286,"['0fd991b5d8352575422d36db3c2f86f7751637495bc6795f395a9bf0012fa06b_1', '68df3f480431ce58b98329d725f4b8da19f3c6e48d0aabd87cfa78c58e080f8a_1', '9b48b63e4789b6174901968f17e160c73d04cbff13b4c14e6092b80ef24c5d28_3']"
17,293,12:00 - 14:00,3,"[402.0, 170.0, 404.0]",3.351,1.831,"['0fd110b53a9eacfa1a58550d261f2883d46da552bbf30719871acd3619e32a67_1', 'b9539e97137fc11c9fbe6269a80cce96c8121ec631c6f1d6f4c79cca7ff7b835_1', 'eb613dd33e76d462f25815d83babe7f5073dd03a6cc9104b143e26f2fd22259d_1']"
17,293,16:00 - 18:00,2,"[110.0, 75.0]",0.085,0.292,"['028245f695104d51873c30e9dac2c158dafc9e7b51a39af48c6d1c0489a779b7_1', '39841234af2c4e40e1140e0afe782d88b47f61562236c8cc00ed0877e4d029a7_1']"
17,293,18:00 - 20:00,3,"[290.0, 218.0, 201.0]",0.413,0.643,"['0dac3cf67312d3b0b2b0c7141b1645db35ff1f2984caf928a8e257265c0960b3_1', '2c7d32a8133f4e0ff73e59ada4e8a5e37ddf1def701d023b11841c6b959d9f54_1', '47ab89be35a3cdbeb5411d4cf889c6433148c72e5e729f372886497ae0df8144_1']"
17,316,16:00 - 18:00,2,"[955.0, 1356.0]",11.167,3.342,"['2727b2302463475e52f2a5532213d73a8572da6b8f9b00b2feaa6736e84bda84_3', 'd2a006c7ee4f72970be0b07bc36de96db9c81a9a5e87ba1cfedb4f8488fdb778_3']"
17,377,12:00 - 14:00,2,"[1632.0, 1842.0]",3.062,1.75,"['8705da2f686a3e3c3c5aef7fe1db0a25f7e84996559931437376ffc5e6ed5e8f_3', '943002b4afdd54bc6176ad6394339b053c595a1768c27c9e1ee9f185eddd1deb_3']"
19,97,10:00 - 12:00,2,"[407.0, 358.0]",0.167,0.408,"['434c9c80cd43c1d86f08c6a64bd6729b4694a03e38a11a00d9adf7d8ca3a54ac_1', 'de746fc843274cbc4b43b7f8aa929eb933727e05003024e126c6a5396685b1f3_1']"
