start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
-1.0,370.0,06:00 - 08:00,2,"[479.0, 310.0]",1.983,1.408,"['c4625c43b9fbb2c89be83d6d1c130071c5e1a8b3e0b3ead3ea4b157c299b5a43_1', 'b5cb9f47504d4648d9e4ee73d566e7cc189a4ac6315effa2a741868826c3854c_1']"
-1.0,370.0,08:00 - 10:00,2,"[155.0, 228.0]",0.37,0.608,"['dd9faf54044d4a0911859b0b74a464700b2e124d1058e3c91357c21a22e1566c_1', '69152ddda1faf72b620c85fe8528975449a4516f11a8fd0ce94f9eddf90d8a15_1']"
-1.0,370.0,12:00 - 14:00,3,"[195.0, 597.0, 194.0]",10.0,3.162,"['223387d57e6ace9b6065888597fc761db55001946002f27b60483d69f00525a8_1', '615f27761e319855fc89d4054b7a8b57ed7930f0472b8057efb3f4fdc8a542ce_1', '5ad5792832ed572e9916f5dc566b60e9b0a05155cb11708a652874e62fb6c7e2_1']"
-1.0,370.0,18:00 - 20:00,2,"[425.0, 383.0]",0.122,0.35,"['f7e4c43f2a2c5b7c521e63712261752b4ec01af9c35f0b23953e352ecee48b43_1', '2273805f5eade763101816cac56ec36a28175477f395ffeba54ff1f835c187e8_1']"
-1.0,370.0,20:00 - 22:00,2,"[140.0, 304.0]",1.868,1.367,"['dd9114a9eae29fcbcbbc0a4e9583b364cd0e91d338ca1573ac92314b1e175aa2_1', '95c098317e7100a7630a60ad7e78b95968f3f9478ee9e5194d3a8c86982ed216_1']"
-1.0,370.0,22:00 - 24:00,2,"[320.0, 330.0]",0.007,0.083,"['2c868fa06d2ff033303358b799b3e64e2f04603a221ee09c975ec0a3e437ffa7_1', '60f644f9fc2a1b93247c9bcb83f3909f148470b6bca14211a53a7d1f84a8aac0_1']"
-1.0,371.0,00:00 - 02:00,3,"[65.0, 65.0, 263.0]",2.42,1.556,"['16e3b2fc9cc7ce20974d84951224bc49b6e9c676679f0a3c7209a2bae7823524_1', '3d4ee53cf9d515e892b9e1b3ca24b2a63920260eaec3aeec8fccfa1f95004179_1', '5e332857683a8b18c7d0d536e777dede455e4e94c3437c5b7b01666e11d871a8_1']"
-1.0,433.0,08:00 - 10:00,2,"[159.0, 500.0]",8.075,2.842,"['5c3aff3dbee01ed663b9f0b3cd388e09576661dc92da3ebd7828bd73503803c8_1', '6e9c171fb80a03337931aff953c1145ea329fbb1788fe687389392dc08a42b64_1']"
-1.0,433.0,10:00 - 12:00,2,"[1862.0, 205.0]",190.67,13.808,"['b95092ffa340c4c79ef9ae0de837b99447a30e7467a28879b97f2695e26c9c37_1', '09be57577808bfa9071ead1e232776c1c263731a03d4f18364de8d0b19d1fa00_1']"
-1.0,433.0,12:00 - 14:00,2,"[150.0, 670.0]",18.778,4.333,"['b7bb3cc01e283a8825e15f06a393ab375a88b4c6580a99dd2ea1a3fc1faa3166_1', '7226558b624eab8a2fa698fcd40b7f3f8f7064b7d690a72351d2dad4fe031328_1']"
-1.0,433.0,14:00 - 16:00,2,"[280.0, 280.0]",0.0,0.0,"['7149793f9cc098e50bf9b5d1a9c8c75c57bb244223b004193e69d4fee0f1d980_1', '158efc2acc5cf601f14ef63e865ab6a5becf9d5a14effa2c830d28c60d76aa9b_1']"
-1.0,433.0,16:00 - 18:00,11,"[125.0, 549.0, 306.0, 400.0, 1360.0, 275.0, 345.0, 1014.0, 303.0, 420.0, 160.0]",35.973,5.998,"['4c45c595354f7e53de775331eb8ece1e857ce0f05d8349306a6f3bcc402d683c_1', '1b7d1b6fd2f0362573afea2b8bfd035a82c3d404446d021de78f20b6c6fc2ed8_1', '0da1b40e1943d6eb65975818f5a26e3495b9cb113b9caeddc98aa49e27694e81_1', '2c4fee1e0a92129945490cbcb63842980229b6fccbb670a2e84d719a684827ae_1', '36bd56baffb0b358888348b484e2470ebfc137eab2fe1374b50397080c6ade93_1', '4b063716dd5fdf76df88e1669e2b231fbc06b42ed450fb595265e9e40805116f_1', '535c5f9a0072ce489b7de211a6b23443f6c381457724dcec4b7f3aff0768003d_1', '9059de53c35a3594ad808b1815692695244b6837ff3b1dec810612904896848f_1', 'b5b287f8a71e27e3accc605a88ae0c060cc9acf618e99523072aeaf9eb8b84ec_1', 'c9f6226bba91f7c245493de0eb3a28b0f4ab65c4962d40f1119afff280c58c03_1', 'f487fa7f4a3e03698d7b5d9878199ee75137d628d9ca23055d9a23b1d0ee1147_1']"
-1.0,433.0,18:00 - 20:00,3,"[140.0, 294.0, 220.0]",1.099,1.048,"['20dfd1aa8f208691f8d706a2013bab4376a593fc91fa826f98dbf6456da06c46_1', '18d355e2e3438319055fb64cbadeaabc2a16fa813e7df76fcc3faab324017782_1', 'fefb4bf25ce06bc8ab0863bbef9466580f3d1e4e4c9019c2600ce16532fef851_1']"
